HOTKEY,Total_Daily_TAO_Rewards
5GP7c3,122.6148906925584
5ECvRL,0.0
5H6BgK,0.0
5FFApa,193.7855698483176
5DCc5o,0.0
5CXRfP,37.2193616723292
5GcBK8,0.0
5EhvL1,113.85499716735117
5FvhvC,0.0
5Dyi5e,0.0
5Ehv5X,0.0
5E6oB7,0.0
5DnWFh,0.0
5GBxDY,0.0
5FcXnz,0.0
5CVS9d,33.64117904462402
5F4tQy,445.7241279189894
5EpxBY,0.0
5Fq5v7,9.927593841268079
5CsvRJ,26.810727530634004
5FLKnb,0.0
5DRZr3,0.0
5DPEpU,0.0
5HEo56,180.9970047888264
5FP9mi,0.0
5HNQUR,11.629519917748558
5D4rJR,0.0
5CAVnb,0.0
5Gpt8X,0.0
5HeKSH,0.0
5DvTpi,86.56291473946558
5FxcZr,174.4391814393024
5Dkv87,0.0
5GzoXH,0.0
5EZrPT,0.0
5CPzGD,0.0
5FqPJM,0.0
5ED6jw,0.17941727825208
5FRcXG,0.0
5Esbfx,0.0
5GmaAk,0.0
5CQEFo,0.0
5CaCUP,0.0
5FFM6N,0.0
5H8Tru,0.0
5G3f8V,0.0
5CXC2q,0.0
5FBrHX,0.0
5HK5tp,150.84027183636724
5Hh3Sh,0.0
5GKH9F,573.2017766333998
5ELREh,0.0
5HbLYX,89.3842631465112
5E2VSs,0.0
5GsenV,0.0
5DM7CP,0.0
5F27Eq,19.310953862050557
5Hb63S,57.36422760630478
